feature,importance
commercial_score,5.4376388
luminosity_score,3.3732376
transit_score,2.269132
emergency_score,1.6399533
physical_score,1.5417972
shop_count_200m_norm,1.1531831
lit_road_bonus,1.0725677
crime_penalty,1.0618072
bus_stop_count_300m_norm,1.0044538
luminosity_norm,0.65656847
combined_risk_score,0.590097
visual_score,0.5345973
construction_nearby,0.2991071
night_crime_density,0.29283807
lamp_count_80m_norm,0.25389525
police_count_500m_norm,0.19622931
crime_density,0.18487324
has_road_name,0.1640571
is_dead_end,0.15384468
footfall_score,0.11300082
is_primary_secondary,0.075645044
accident_density,0.049851198
highway_type_enc,0.04869618
cctv_count_150m_norm,0.023418585
brightness_mean,0.013681499
darkness_ratio,0.007879571
greenery_ratio,0.005153309
lanes,0.003049286
has_sidewalk,0.0
hour_sin,0.0
hour_cos,0.0
is_night,0.0
